Type,Handle,Block,Layer,Linetype,Linetype Scale,Lineweight,Color,Displayed Color,Draw Order,Center:X,Center:Y,Center:Z,Radius,Diameter,Length,Area,Referenced Block,Position:X,Position:Y,Position:Z,Scale:X,Scale:Y,Scale:Z,Angle,Columns,Rows,Column Spacing,Row Spacing,Circumference,Text Position:X,Text Position:Y,Text Position:Z,Scale,Origin:X,Origin:Y,Origin:Z,Start Point:X,Start Point:Y,Start Point:Z,End Point:X,End Point:Y,End Point:Z,Width,Height,Solid,Alpha,Pattern:Name,Pattern:From Entity,Pattern:Angle,Pattern:Scale,Vertex:X,Vertex:Y,Vertex:Z,Text,Polyline Pattern,Closed,Vertex:Bulge,Vertex:Angle,Vertex:Start Width,Vertex:End Width,Global Width,Orientation,Size:Base Angle,Size:Size 1,Size:Size 2,Global Z,Rotation,On,View Center:X,View Center:Y,View Target:X,View Target:Y,View Target:Z,Overall,Simple,Plain Text,Font Name,Text Height,Text Width,Text Angle,X Scale,Bold,Italic,Line Spacing,Alignment:Horizontal,Alignment:Vertical,Backward,Upside Down,Tag,Prompt,Name,Off,Frozen,Locked,Collapsed,Plottable,Snappable,Off is Freeze,Tab Order,Min Limits:X,Min Limits:Y,Min Limits:Z,Max Limits:X,Max Limits:Y,Max Limits:Z,Insertion Base:X,Insertion Base:Y,Insertion Base:Z,Min Extents:X,Min Extents:Y,Min Extents:Z,Max Extents:X,Max Extents:Y,Max Extents:Z,Plot Margins:Left,Plot Margins:Bottom,Plot Margins:Right,Plot Margins:Top,Plot Paper Size:Width,Plot Paper Size:Height,Plot Origin:X,Plot Origin:Y,Plot Window Area Min:X,Plot Window Area Min:Y,Plot Window Area Max:X,Plot Window Area Max:Y,Custom Scale:Numerator,Custom Scale:Denominator,Plot Paper Units,Plot Rotation,Plot Type,Use Standard Scale,Standard Scale,Standard Scale Type,Media Name,Description,Metric,Pattern,Hidden,Pixel Unit,Layout,Attributes:CODCONTRATISTA,Attributes:CODIGOPLANO,Attributes:CODIGOPROY,Attributes:CODSUBCONTRATISTA,Attributes:DEPARTAMENTOUNIDAD,Attributes:DIRECCIONPROY,Attributes:EQUIPODIBUJO,Attributes:ETAPAPROY,Attributes:FECHAHITO,Attributes:FRENTEOBRA,Attributes:HOJA,Attributes:INTERVENTORIA,Attributes:Inst_EL,Attributes:LIDERPROY,Attributes:MATRICULAPROF,Attributes:NOMBREAPROBO,Attributes:NOMBREDISEÑO,Attributes:NOMBREREVISO,Attributes:NUMDECONTRATO,Attributes:NUMLOTECONTROL,Attributes:NUMLOTETRABAJO,Attributes:REVISIÓN,Attributes:TOTAL_PLANOS,Attributes:Tag Caja,Attributes:Tag Gabinete,Attributes:Tag_inst,Attributes:VICEPRESIDENCIA,Attributes:dest,QCAD:MultiPageSettings/Columns,QCAD:MultiPageSettings/Rows,QCAD:PageSettings/OffsetX,QCAD:PageSettings/OffsetY,QCAD:PageSettings/PageOrientation,QCAD:PageSettings/PaperHeight,QCAD:PageSettings/PaperSizeName,QCAD:PageSettings/PaperWidth,QCAD:PageSettings/PointSize,QCAD:PageSettings/Scale,QCAD:PageSettings/ShowPaperBorders,REVIT:0001_1002,REVIT:0002_1070,REVIT:0003_1000,REVIT:0004_1002,REVIT:0005_1002,REVIT:0006_1070,REVIT:0007_1000,REVIT:0008_1002,REVIT:0009_1002,REVIT:0010_1070,REVIT:0011_1000,REVIT:0012_1002
Attribute,0x18b6d06,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1636,,,,,,,,,,,,,,,,,,,,,89.741205658577,60.291074690176,3.66963856141,,,,,,,,,,,,,,,,,,,,,,PIT-017,,,,,,,,,,,,,,,,,,,,,,PIT-017,Liberation Sans,0.18,0,0,1,false,false,1,0,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6d07,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1637,,,,,,,,NODO1,90.629982935357,59.912720018383,-3.66963856141,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT-27,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0x18b6d08,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1638,,,,,,,,,,,,,,,,,,,,,90.704982935358,59.912720018383,-3.66963856141,,,,,,,,,,,,,,,,,,,,,,PIT-27,,,,,,,,,,,,,,,,,,,,,,PIT-27,Liberation Sans,0.18,0,0,1,false,false,1,0,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6d09,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1639,,,,,,,,NODO1,89.641683277441,58.883648237214,3.66963856141,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT-016,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0x18b6d0a,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1640,,,,,,,,,,,,,,,,,,,,,89.716683277441,58.883648237214,3.66963856141,,,,,,,,,,,,,,,,,,,,,,PIT-016,,,,,,,,,,,,,,,,,,,,,,PIT-016,Liberation Sans,0.18,0,0,1,false,false,1,0,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6d0b,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1641,,,,,,,,NODO1,90.406376010971,58.305543561932,3.66963856141,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT-028,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0x18b6d0c,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1642,,,,,,,,,,,,,,,,,,,,,90.481376010971,58.305543561932,3.66963856141,,,,,,,,,,,,,,,,,,,,,,PIT-028,,,,,,,,,,,,,,,,,,,,,,PIT-028,Liberation Sans,0.18,0,0,1,false,false,1,0,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6d0d,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1643,,,,,,,,NODO2,71.547176828368,74.74730846223,3.66963856141,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOT-SEDP001,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0x18b6d0e,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1644,,,,,,,,,,,,,,,,,,,,,71.472176828368,74.74730846223,3.66963856141,,,,,,,,,,,,,,,,,,,,,,BOT-SEDP001,,,,,,,,,,,,,,,,,,,,,,BOT-SEDP001,Liberation Sans,0.18,0,0,1,false,false,1,2,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6d0f,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1645,,,,,,,,NODO1,71.329073767644,58.3,0,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOT-SEDP002,,,,,,,,,,,,,,,,,,,,,,,
