Tag señal,Origen,Locación,Lazo,Lazo típico,Servicio,Descripción,P&ID,Inf,Sup,Set Al,Un Ing,Tipo de I/O,Tipo de señal,destino,Controlador,HMI,Interbloqueos,Log de eventos,Tendencia,Histórico,Notas
XO-BOM015,VFD-015,CCM,L-006,L_Cerr_VFD3,BOMBA AGUA RECIRCULACION F PERCOLADORES BOM-015,COMANDO DE ARRANQUE,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XC-BOM015,VFD-015,CCM,L-006,L_Cerr_VFD3,BOMBA AGUA RECIRCULACION F PERCOLADORES BOM-015,COMANDO DE PARO,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XS-BOM015,VFD-015,CCM,L-006,L_Cerr_VFD3,BOMBA AGUA RECIRCULACION F PERCOLADORES BOM-015,CONSIGNA DE VELOCIDAD,A2-2007-HD021,,,,%,AO,4-20 mA,GAB-001,PLC-001,EST-001,,NO,SI,SI,
LI-007,LIT-007,FLD,L-007,L_Cerr_VFD2,COLECTOR DE GRASAS SED PRIMARIOS T-004,INDICACION DE NIVEL,A2-2007-HD021,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-004,PLC-001,EST-001,,NO,SI,SI,
LALL-007,LIT-007,FLD,L-007,L_Cerr_VFD2,COLECTOR DE GRASAS SED PRIMARIOS T-004,ALARMA MUY BAJO NIVEL,A2-2007-HD021,,,HOLD,HOLD,S,,NA,NA,NA,I-09/10,SI,NO,NO,
LAHH-007,LIT-007,FLD,L-007,L_Cerr_VFD2,COLECTOR DE GRASAS SED PRIMARIOS T-004,ALARMA MUY ALTO NIVEL,A2-2007-HD021,,,HOLD,HOLD,S,,NA,NA,NA,,SI,NO,NO,
XO-BOM008,VFD-008,CCM,L-007,L_Cerr_VFD2,BOMBA GRASAS SED PRIMARIOS BOM-008,COMANDO DE ARRANQUE,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XC-BOM008,VFD-008,CCM,L-007,L_Cerr_VFD2,BOMBA GRASAS SED PRIMARIOS BOM-008,COMANDO DE PARO,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XS-BOM008,VFD-008,CCM,L-007,L_Cerr_VFD2,BOMBA GRASAS SED PRIMARIOS BOM-008,CONSIGNA DE VELOCIDAD,A2-2007-HD021,,,,%,AO,4-20 mA,GAB-001,PLC-001,EST-001,,NO,SI,SI,
XO-BOM009,VFD-009,CCM,L-007,L_Cerr_VFD2,BOMBA GRASAS SED PRIMARIOS BOM-009,COMANDO DE ARRANQUE,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XC-BOM009,VFD-009,CCM,L-007,L_Cerr_VFD2,BOMBA GRASAS SED PRIMARIOS BOM-009,COMANDO DE PARO,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XS-BOM009,VFD-009,CCM,L-007,L_Cerr_VFD2,BOMBA GRASAS SED PRIMARIOS BOM-009,CONSIGNA DE VELOCIDAD,A2-2007-HD021,,,,%,AO,4-20 mA,GAB-001,PLC-001,EST-001,,NO,SI,SI,
LI-008,LIT-008,FLD,L-008,L_Cerr_VFD2,COLECTOR DE GRASAS SED SECUNDARIOS T-006,INDICACION DE NIVEL,A2-2007-HD021,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-005,PLC-002,EST-001,,NO,SI,SI,
LAL-008,LIT-008,FLD,L-008,L_Cerr_VFD2,COLECTOR DE GRASAS SED SECUNDARIOS T-006,ALARMA POR BAJO NIVEL,A2-2007-HD021,,,HOLD,HOLD,DI,Sink 24 VDC,JBI-005,PLC-002,EST-001,I-20,SI,NO,NO,
LAH-008,LIT-008,FLD,L-008,L_Cerr_VFD2,COLECTOR DE GRASAS SED SECUNDARIOS T-006,ALARMA POR ALTO NIVEL,A2-2007-HD021,,,HOLD,HOLD,DI,Sink 24 VDC,JBI-005,PLC-002,EST-001,,SI,NO,NO,
XO-BOM019,VFD-019,CCM,L-008,L_Cerr_VFD2,BOMBA GRASAS SED SECUNDARIOS BOM-019,COMANDO DE ARRANQUE,A2-2008-HD021,,,,,DO,Sink 24 VDC,GAB-002,PLC-002,EST-001,,SI,NO,NO,
XC-BOM019,VFD-019,CCM,L-008,L_Cerr_VFD2,BOMBA GRASAS SED SECUNDARIOS BOM-019,COMANDO DE PARO,A2-2008-HD021,,,,,DO,Sink 24 VDC,GAB-002,PLC-002,EST-001,,SI,NO,NO,
XS-BOM019,VFD-019,CCM,L-008,L_Cerr_VFD2,BOMBA GRASAS SED SECUNDARIOS BOM-019,CONSIGNA DE VELOCIDAD,A2-2008-HD021,,,,%,AO,4-20 mA,GAB-002,PLC-002,EST-001,,NO,SI,SI,
XO-BOM020,VFD-020,CCM,L-008,L_Cerr_VFD2,BOMBA GRASAS SED SECUNDARIOS BOM-020,COMANDO DE ARRANQUE,A2-2008-HD021,,,,,DO,Sink 24 VDC,GAB-002,PLC-002,EST-001,,SI,NO,NO,
XC-BOM020,VFD-020,CCM,L-008,L_Cerr_VFD2,BOMBA GRASAS SED SECUNDARIOS BOM-020,COMANDO DE PARO,A2-2008-HD021,,,,,DO,Sink 24 VDC,GAB-002,PLC-002,EST-001,,SI,NO,NO,
XS-BOM020,VFD-020,CCM,L-008,L_Cerr_VFD2,BOMBA GRASAS SED SECUNDARIOS BOM-020,CONSIGNA DE VELOCIDAD,A2-2008-HD021,,,,%,AO,4-20 mA,GAB-002,PLC-002,EST-001,,NO,SI,SI,
LI-009,LIT-009,FLD,L-009,Sup_Analoga,TANQUE DE HOMOGENIZACION TK-007,INDICACION DE NIVEL,A2-2008-HD018,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-007,PLC-002,EST-001,,NO,SI,SI,
LAL-009,LIT-009,FLD,L-009,Sup_Analoga,TANQUE DE HOMOGENIZACION TK-007,ALARMA POR BAJO NIVEL,A2-2008-HD018,,,HOLD,HOLD,S,,NA,NA,NA,I-31/32/33,SI,NO,NO,
LAH-009,LIT-009,FLD,L-009,Sup_Analoga,TANQUE DE HOMOGENIZACION TK-007,ALARMA POR ALTO NIVEL,A2-2008-HD018,,,HOLD,HOLD,S,,NA,NA,NA,I-31/32/33,SI,NO,NO,
